full_name,phone_number,cccd,result,prob_full_payment,prob_non_payment,credit_policy,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,purpose,time
cường cướng ,122222,1775444444,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[19.0],[1],[19.0],[1.0],[15.0],[1],[1],[15],['15'],2024-11-26 17:28:17
cường cướng ,122222,1775444444,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],2024-11-26 17:28:06
1111,111,11,Không trả nợ đầy đủ,0.13,0.87,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[11.0],[11.0],[1],[1],[1],['sấdsd'],2024-11-26 17:04:59
1111,111,11,Không trả nợ đầy đủ,0.13,0.87,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[11.0],[11.0],[1],[1],[1],['sấdsd'],2024-11-26 17:03:02
1111,111,11,Không trả nợ đầy đủ,0.13,0.87,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[11.0],[11.0],[1],[1],[1],['sấdsd'],2024-11-26 17:01:02
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[11.618284980627555],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:57:38
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[11.618284980627555],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:53:58
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[11.618284980627555],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:53:45
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:52:46
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:52:00
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:49:40
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:49:29
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:45:39
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:44:13
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:43:00
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:42:35
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:41:29
